Quarter,Inv,Q
1990(2),0.00516744120985024,0.535045021040353
1990(3),0.00325435885101642,0.514991534280518
1990(4),0.0026219053297299,0.505537132411849
1991(1),0.00116113267996121,0.510461205063102
1991(2),0.00174618634036558,0.52218353363883
1991(3),0.00111520692281285,0.5192636244357
1991(4),0.000306495961913484,0.517270111948642
1992(1),0.000461850878678524,0.497486706619253
1992(2),0.000566837405579053,0.506534078447068
1992(3),0.000775554921240224,0.493962141034597
1992(4),-0.00015433293204076,0.474662075820709
1993(1),-0.00255671536402301,0.426560913767656
1993(2),-0.00240531394874277,0.434052582199752
1993(3),0.00148369253713689,0.524490290667308
1993(4),0.000606407129980415,0.545407079159901
1994(1),0.00104316262788127,0.529089533431847
1994(2),0.00171262142907626,0.522438723723558
1994(3),0.00128018791968274,0.524118839669465
1994(4),0.0019019712347685,0.53635132778073
1995(1),0.00303787977266284,0.552262575333617
1995(2),0.00420921149512117,0.569717503049336
1995(3),0.0049141007690357,0.574361521938179
1995(4),0.00654310051930969,0.588435211792234
1996(1),0.00730364340136174,0.637469733802775
1996(2),0.0078696267182934,0.605555797389977
1996(3),0.00913445706740548,0.620593345740802
1996(4),0.0087622245521465,0.628706174146436
1997(1),0.0103937007284129,0.683955325363468
1997(2),0.00827748833625757,0.662653594690471
1997(3),0.00859839462245428,0.680932164820893
1997(4),0.0101907492669998,0.69328912670942
1998(1),0.0107025615458534,0.72365747473434
1998(2),0.0095060558082893,0.719499999032992
1998(3),0.0101517657208411,0.715277016666979
1998(4),0.0100627592531066,0.730652492361756
1999(1),0.0097430869945556,0.722566003643878
1999(2),0.0110613269031126,0.744537485465056
1999(3),0.0121336859463245,0.750036263440025
1999(4),0.0130698547086175,0.748357070819156
2000(1),0.0220544573864858,0.774311254488176
2000(2),0.0182542132323184,0.786805123450487
2000(3),0.0141792407504429,0.780647092152179
2000(4),0.0113954826467798,0.773616198861797
2001(1),0.010496679008438,0.774776223893816
2001(2),0.0112764918621536,0.789271130471861
2001(3),0.0117083176422084,0.796594793090707
2001(4),0.0125369623273436,0.80687734031728
2002(1),0.0122368348080179,0.798452672001105
2002(2),0.0110922307597183,0.800549355639812
2002(3),0.0116723995834139,0.808446336579383
2002(4),0.0121321111259749,0.798622367404069
2003(1),0.0141050024931879,0.808847332372289
2003(2),0.014398821414525,0.806169945695199
2003(3),0.0141504773627885,0.806910760618403
2003(4),0.0161034525447693,0.813733612030409
2004(1),0.0183917312435788,0.860073562788526
2004(2),0.0194356673372412,0.871464088765551
2004(3),0.019204914803829,0.87618600123688
2004(4),0.0189766795158161,0.881794822836463
2005(1),0.0237395755835559,0.951939663602768
2005(2),0.0256204582552679,0.985063743848011
2005(3),0.025857826329291,1.00770150244414
2005(4),0.0272833082746476,1.05734118927128
2006(1),0.0249921225220978,1.07688181212032
2006(2),0.0291296441824105,1.13972996671149
2006(3),0.0351077122033549,1.20420355191291
2006(4),0.0296403404121486,1.14867405851002
2007(1),0.0284257680424055,1.15490199545112
2007(2),0.0255145786042975,1.11901939048814
2007(3),0.0239684364067811,1.12822865705066
2007(4),0.0219960732280855,1.13394244825579
2008(1),0.0164842582319458,1.02971587867779
2008(2),0.0153208409202746,1.06195241290346
2008(3),0.0139975668599283,1.05274390564096
2008(4),0.0149687336514597,1.0394914273271
2009(1),0.0124941752636434,0.982501763145865
2009(2),0.0114881464985587,0.979788187857892
2009(3),0.0104904186449838,1.0077841332073
2009(4),0.007224498451338,0.999889484446061
2010(1),0.00657707291590248,1.03443682280653
2010(2),0.00577264060968604,1.00676026701785
2010(3),0.00601506649535319,0.973780582997194
2010(4),0.00823695618699208,0.989557406426736
2011(1),0.013059483382781,0.99260322154342
2011(2),0.0115007476611036,0.962790222084996
2011(3),0.0104774466047683,0.929864965105272
2011(4),0.00963643548587294,0.893908747087328
